clientSampleid,Sex,State,Site,Year,Age,Date_Laying,ID,Total_Offspring,Total Eggs,NestInit,H_inc,Hatch,H_brood,Brood_lived,Est_Poults,Attempt
47394_21_01,,SC,SRS,2021,1,,47394,0,,0,,,,,,1
47405_21_01,,SC,SRS,2021,1,,47405,0,,0,,,,,,1
47411_21_01,,SC,SRS,2021,0,,47411,0,,0,,,,,,1
47420_21_01,,SC,SRS,2021,1,,47420,0,,0,,,,,,1
47439_21_01,,SC,SRS,2021,1,,47439,0,,0,,,,,,1
47460_21_01,,SC,SRS,2021,1,,47460,0,,0,,,,,,1
47389_21_01,,SC,SRS,2021,1,3/21/21,47389,0,12,1,1,0,,,,1
47425-21-01-A,0,SC,SRS,2021,1,3/22/21,47425,2,,1,1,1,1,0,,1
47425-21-01-B,1,SC,SRS,2021,1,3/22/21,47425,2,,1,1,1,1,0,,1
61310-21-01-A,0,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-B,0,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-C,0,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-D,1,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-E,0,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-F,1,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-G,1,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-H,0,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-I,1,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-J,1,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-K,0,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
61310-21-01-L,0,SC,SRS,2021,1,3/22/21,61310,12,,1,1,1,,,,1
47421_21_01,,SC,SRS,2021,1,3/25/21,47421,0,7,1,1,0,,,,1
61263-21-01-A,1,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-B,1,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-C,1,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-D,1,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-E,1,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-F,0,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-G,0,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-H,0,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-J,0,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
61263-21-01-K,1,SC,SRS,2021,1,3/27/21,61263,10,,1,1,1,,,,1
47487_21_01,,SC,SRS,2021,1,3/28/21,47487,0,,1,0,0,,,,1
47489_21_01,,SC,SRS,2021,1,3/28/21,47489,0,8,1,0,0,,,,1
47387_21_01,,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-A,0,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-B,0,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-C,1,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-D,1,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-E,0,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-F,1,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-G,1,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-H,0,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-I,1,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-J,1,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-K,1,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47387-21-01-L,0,SC,SRS,2021,1,3/29/21,47387,13,,1,1,1,1,1,,1
47398_21_01,,SC,SRS,2021,1,3/31/21,47398,0,9,1,1,0,,,,1
47422-21-01-A,1,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-C,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-D,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-E,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-F,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-G,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-H,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-I,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-J,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-K,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-L,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-M,1,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-N,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47422-21-01-O,0,SC,SRS,2021,1,4/1/21,47422,14,,1,1,1,1,1,,1
47424-21-01-A,1,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-B,0,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-C,0,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-D,0,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
47424-21-01-F,1,SC,SRS,2021,1,4/3/21,47424,11,12,1,1,1,1,1,,1
