State,Site,Year,Age,Date_Incubate,ID,BandNo,Total_Offspring,Total Eggs,NestInit,H_inc,Hatch,H_brood,Brood_lived,Est_Poults,Attempt
SC,Webb,2015,1,4/25/15,60216,232,11,,1,1,1,1,1,,1
SC,Webb,2015,1,5/16/15,60228,233,0,,1,0,0,,,,1
SC,Webb,2015,1,4/26/15,60186,240,0,2,1,1,0,,,,1
SC,Webb,2015,1,4/26/15,60186,240,0,,1,0,0,,,,2
SC,Webb,2015,0,,60211,248,0,,0,,,,,,1
SC,Webb,2015,1,4/23/15,60199,250,0,2,1,1,0,,,,1
SC,Webb,2015,0,,60210,252,0,,0,,,,,,1
SC,Webb,2015,1,5/8/15,60223,221,0,,1,1,0,,,,1
SC,Webb,2015,1,6/26/15,60223,221,0,,1,1,0,,,,2
SC,Webb,2015,1,4/28/15,60195,245,0,,1,1,0,,,,1
SC,Webb,2015,0,4/23/15,60226,225,0,,1,1,0,,,,1
SC,Webb,2015,1,4/18/15,60205,223,11,,1,1,1,1,1,,1
SC,Webb,2015,1,4/13/15,60217,220,16,,1,1,1,1,0,,1
SC,Webb,2015,1,4/26/15,60196,229,3,,1,1,1,1,1,,1
SC,Webb,2015,1,5/20/15,60220,228,0,11,1,1,0,,,,1
SC,Webb,2015,0,,60190,222,0,,0,,,,,,1
SC,Webb,2015,1,4/10/15,60187,226,11,,1,1,1,1,1,,1
SC,Webb,2015,1,,60188,203,0,,0,,,,,,1
SC,Webb,2015,1,,60206,204,0,,0,,,,,,1
SC,Webb,2015,1,,60209,206,0,,0,,,,,,1
SC,Webb,2015,1,4/14/15,60221,208,10,11,1,1,1,1,1,8,1
SC,Webb,2015,0,4/18/15,60191,211,12,13,1,1,1,1,0,,1
SC,Webb,2015,0,,60197,209,0,,1,1,0,,,,1
SC,Webb,2015,0,,60200,214,0,,0,,,,,,1
SC,Webb,2015,0,,60212,210,0,,0,,,,,,1
SC,Webb,2015,0,,60224,205,0,,0,,,,,,1
SC,Webb,2016,1,4/12/16,60646,263,0,,1,0,0,,,,1
SC,Webb,2016,1,4/19/16,60656,264,0,,1,1,0,,,,1
SC,Webb,2016,1,5/15/16,60663,270,0,,1,1,0,,,,1
SC,Webb,2016,0,,60686,261,0,,0,,,,,,1
SC,Webb,2016,1,4/4/16,60670,294,0,,1,1,0,,,,1
SC,Webb,2016,1,6/4/16,60670,294,0,,1,1,0,,,,2
SC,Webb,2016,1,4/18/16,60677,296,0,,1,0,0,,,,1
SC,Webb,2016,1,4/9/16,60683,258,0,,1,1,0,,,,1
SC,Webb,2016,1,5/8/16,60690,255,12,12,1,1,1,1,0,,1
SC,Webb,2016,0,,60643,260,0,,0,,,,,,1
SC,Webb,2016,0,5/5/16,60672,254,3,7,1,1,1,1,0,,1
SC,Webb,2016,1,4/15/16,60647,271,10,10,1,1,1,0,0,,1
SC,Webb,2016,1,4/9/16,60649,278,0,,1,1,0,,,,1
SC,Webb,2016,1,4/10/16,60664,279,0,,1,0,0,,,,1
SC,Webb,2016,1,4/13/16,60682,275,5,5,1,1,1,1,0,,1
SC,Webb,2016,1,4/22/16,60696,276,7,7,1,1,1,1,1,7,1
SC,Webb,2016,1,4/13/16,60700,272,0,,1,1,0,,,,1
SC,Webb,2016,1,6/1/16,60700,272,0,,1,1,0,,,,2
SC,Webb,2016,0,4/28/16,60704,277,0,,1,0,0,,,,1
SC,Webb,2016,1,4/14/16,60667,280,8,8,1,1,1,1,1,,1
SC,Webb,2016,1,4/13/16,60780,304,0,,1,1,0,,,,1
SC,Webb,2016,1,5/6/16,60780,304,0,,1,1,0,,,,2
SC,Webb,2016,1,4/26/16,60652,210,8,8,1,1,1,1,0,,1
SC,Webb,2016,1,4/24/16,60701,310,0,,1,1,0,,,,1
SC,Webb,2016,1,4/21/16,60703,306,0,,1,1,0,,,,1
SC,Webb,2016,1,5/31/16,60703,306,0,,1,1,0,,,,2
SC,Webb,2016,0,,6,309,0,,0,,,,,,1
SC,Webb,2016,0,,60679,308,0,,0,,,,,,1
SC,Webb,2016,0,,60666,307,0,,0,,,,,,1
SC,Webb,2016,1,4/20/16,60644,288,0,,1,1,0,,,,1
SC,Webb,2016,1,5/20/16,60644,288,9,9,1,1,1,1,0,,2
SC,Webb,2016,1,4/18/16,60651,293,11,,1,1,1,1,1,,1
SC,Webb,2016,1,4/29/16,60654,223,0,,,,,,,,1
SC,Webb,2016,1,4/14/16,60658,281,,,1,1,0,,,,1
SC,Webb,2016,1,5/23/16,60658,281,7,7,1,1,1,1,0,,2
SC,Webb,2016,1,,60671,286,0,,0,,,,,,1
SC,Webb,2016,1,4/30/16,60676,285,11,11,1,1,1,0,0,,1
SC,Webb,2016,1,,60678,290,0,,0,,,,,,1
SC,Webb,2016,1,5/1/16,60688,289,5,,1,1,1,1,0,,1
SC,Webb,2016,1,4/14/16,60693,292,0,,1,1,0,,,,1
SC,Webb,2016,1,5/19/16,60693,292,7,,1,1,1,1,0,,2
SC,Webb,2016,0,,60665,282,0,,0,,,,,,1
SC,Webb,2016,1,4/24/16,60653,298,0,,1,1,0,,,,1
SC,Webb,2016,1,4/10/16,60918,301,13,13,1,1,1,1,1,,1
SC,Webb,2016,1,4/24/16,60919,229,8,8,1,1,1,1,0,,1
SC,Webb,2016,1,4/30/16,60922,300,0,,1,1,0,,,,1
SC,Webb,2016,1,5/27/16,60922,300,0,,1,0,0,,,,2
SC,Webb,2016,1,4/8/16,60923,303,0,,1,0,0,,,,1
SC,Webb,2016,0,6/1/16,60291,299,0,,1,1,0,,,,1
SC,Webb,2014,0,4/10/14,125,2935,11,14,1,1,1,,,,1
SC,Webb,2014,0,5/16/14,151,2938,3,,1,1,1,,,,1
SC,Webb,2014,1,,138,2941,0,,0,,,,,,1
SC,Webb,2014,0,5/15/14,136,2942,3,4,1,1,1,1,0,,1
SC,Webb,2014,1,4/10/14,126,2945,11,,1,1,1,1,0,,1
SC,Webb,2014,1,5/23/14,126,2945,0,12,1,1,0,,,,2
SC,Webb,2014,1,4/18/14,120,2946,7,,1,1,1,0,0,,1
SC,Webb,2014,0,,95,2947,0,,0,,,,,,1
SC,Webb,2014,0,,134,2949,0,,0,,,,,,1
SC,Webb,2014,0,4/15/14,148,2950,9,,1,1,1,1,1,3,1
SC,Webb,2017,1,4/20/17,46206,379,0,,1,1,0,,,,1
SC,Webb,2017,1,4/28/17,46186,383,0,,1,1,0,,,,1
SC,Webb,2017,1,4/14/17,46187,384,5,,1,1,1,1,0,,1
SC,Webb,2017,1,4/2/17,46186,378,,,1,1,1,1,0,,1
SC,Webb,2018,0,,61120,376,0,,0,,,,,,1
SC,Webb,2018,0,4/2/18,61117,332,0,,1,0,0,,,,1
SC,Webb,2018,0,5/22/18,61126,372,0,,1,1,0,,,,1
SC,Webb,2018,1,,61118,362,0,,0,,,,,,1
SC,Webb,2018,0,5/10/18,61125,355,0,,1,1,0,,,,1
SC,Webb,2018,0,4/8/18,61130,334,0,,1,1,0,,,0,1
SC,Webb,2018,1,4/29/18,61142,339,0,,1,1,0,,,,1
SC,Webb,2018,1,4/24/18,61135,338,,,1,1,1,1,0,,1
SC,Webb,2018,0,4/16/18,61139,352,0,,1,1,0,,,,1
SC,Webb,2018,0,5/13/18,61139,352,0,,1,1,0,,,,2
SC,Webb,2018,0,6/13/18,61139,352,8,,1,1,1,1,0,,3
SC,Webb,2018,0,4/2/18,61226,356,0,,1,0,0,,,,1
SC,Webb,2018,0,4/7/18,61138,348,0,,1,1,1,1,0,,1
SC,Webb,2018,0,,61122,125,0,,0,,,,,,1
