Date,Year,State,Site,Lat,Long,Age,Sex,Transmitter,BandID,Alive/Dead,CaptureMyopathy,TransmitterFail,NestAttempts,DiedNesting,BroodStage,DiedBrood,Harvested,Note
2/27/14,2014,SC,Webb,,,1,1,113,26,1,0,,,,,,,
5/19/14,2014,SC,Webb,,,1,1,113,26,0,0,,,,,,,"Shot, unclear if harvest"
1/22/14,2014,SC,Webb,,,1,1,124,13,1,1,,,,,,,
1/23/14,2014,SC,Webb,,,1,1,127,18,1,1,,,,,,,
1/22/14,2014,SC,Webb,,,1,1,128,11,1,0,,,,,,,
7/28/14,2014,SC,Webb,,,1,1,128,11,1,0,,,,,,,
1/22/14,2014,SC,Webb,,,1,1,129,6,1,0,,,,,,,
7/31/14,2014,SC,Webb,,,1,1,129,6,1,0,,,,,,,
1/22/14,2014,SC,Webb,,,1,1,131,5,1,1,,,,,,,
2/25/14,2014,SC,Webb,,,1,1,131,24,1,0,,,,,,,
4/12/14,2014,SC,Webb,,,1,1,131,24,0,0,,,,,,1,
1/23/14,2014,SC,Webb,,,1,1,132,22,1,0,,,,,,,
4/11/14,2014,SC,Webb,,,1,1,132,22,0,0,,,,,,1,
1/23/14,2014,SC,Webb,,,1,1,133,21,1,1,,,,,,,
2/25/14,2014,SC,Webb,,,1,1,133,25,1,0,,,,,,,
4/7/14,2014,SC,Webb,,,1,1,133,25,1,0,,,,,,,date based on GPS
1/23/14,2014,SC,Webb,,,1,1,135,19,1,0,,,,,,,
7/23/14,2014,SC,Webb,,,1,1,135,19,0,0,,,,,,1,
1/23/14,2014,SC,Webb,,,1,1,139,20,1,0,,,,,,,
5/12/14,2014,SC,Webb,,,1,1,139,20,0,0,,,,,,,
1/23/14,2014,SC,Webb,,,1,1,142,23,1,0,,,,,,,
5/6/14,2014,SC,Webb,,,1,1,142,23,0,0,,,,,,,"Shot, unclear if harvest"
1/22/14,2014,SC,Webb,,,1,1,143,10,1,0,,,,,,,
3/29/14,2014,SC,Webb,,,1,1,143,10,0,0,,,,,,1,
1/22/14,2014,SC,Webb,,,1,1,144,14,1,0,,,,,,,
6/14/14,2014,SC,Webb,,,1,1,144,14,1,0,,,,,,,
1/22/14,2014,SC,Webb,,,1,1,145,2,1,0,,,,,,,
7/30/14,2014,SC,Webb,,,1,1,145,2,1,0,,,,,,,
1/22/14,2014,SC,Webb,,,1,1,146,12,1,0,,,,,,,
7/29/14,2014,SC,Webb,,,1,1,146,12,1,0,,,,,,,
1/22/14,2014,SC,Webb,,,1,1,147,1,1,0,,,,,,,
5/29/14,2014,SC,Webb,,,1,1,147,1,0,0,,,,,,,
1/22/14,2014,SC,Webb,,,1,1,149,3,1,0,,,,,,,
4/15/14,2014,SC,Webb,,,1,1,149,3,1,0,1,,,,,,"harvested, but after tracking complete"
1/22/14,2014,SC,Webb,,,1,1,150,4,1,0,,,,,,,
7/30/14,2014,SC,Webb,,,1,1,150,4,1,0,,,,,,,
1/24/14,2014,SC,Webb,,,0,0,137,2934,1,0,,,,,,,
3/25/14,2014,SC,Webb,,,0,0,137,2934,1,0,1,,,,,,
1/24/14,2014,SC,Webb,,,0,0,125,2935,1,0,,,,,,,
5/13/14,2014,SC,Webb,,,0,0,125,2935,1,0,1,1,0,1,0,,
1/24/14,2014,SC,Webb,,,0,0,134,2936,1,0,,,,,,,
2/5/14,2014,SC,Webb,,,0,0,134,2936,0,0,,,,,,,
1/24/14,2014,SC,Webb,,,0,0,148,2937,1,0,,,,,,,
2/11/14,2014,SC,Webb,,,0,0,148,2937,0,0,,,,,,,
1/24/14,2014,SC,Webb,,,0,0,151,2938,1,0,,,,,,,
6/14/14,2014,SC,Webb,,,0,0,151,2938,1,0,,1,0,,,,
1/24/14,2014,SC,Webb,,,1,0,123,2939,1,0,,,,,,,
2/24/14,2014,SC,Webb,,,1,0,123,2939,1,0,1,,,,,,
1/24/14,2014,SC,Webb,,,1,0,141,2940,1,0,,,,,,,
4/22/14,2014,SC,Webb,,,1,0,141,2940,1,0,1,,,,,,
1/24/14,2014,SC,Webb,,,1,0,138,2941,1,0,,,,,,,
8/4/14,2014,SC,Webb,,,1,0,138,2941,1,0,,0,,,,,
1/24/14,2014,SC,Webb,,,0,0,136,2942,1,0,,,,,,,
6/14/14,2014,SC,Webb,,,0,0,136,2942,1,0,,1,0,1,0,,
2/19/14,2014,SC,Webb,,,0,0,122,2943,1,0,1,,,,,,
2/19/14,2014,SC,Webb,,,1,0,126,2945,1,0,,,,,,,
5/23/14,2014,SC,Webb,,,1,0,126,2945,1,0,,2,0,1,0,,
2/19/14,2014,SC,Webb,,,1,0,120,2946,1,0,,,,,,,
